created_at|text|text_truncated|source|retweet_count|favorite_count|link
Sun Nov 27 12:55:03 +0000 2016|"Hillary's debate answer on delay: ""That is horrifying. That is not the way our democracy works. Been around for 240 years. We've had free --"|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|11081|43469|https://twitter.com/realdonaldtrump/status/802858273284255744
Sun Nov 27 12:19:31 +0000 2016|Hillary Clinton conceded the election when she called me just prior to the victory speech and after the results were in. Nothing will change|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|26175|95292|https://twitter.com/realdonaldtrump/status/802849330176659456
Sun Nov 27 03:59:52 +0000 2016|The Democrats, when they incorrectly thought they were going to win, asked that the election night tabulation be accepted. Not so anymore!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|30874|98722|https://twitter.com/realdonaldtrump/status/802723588759375873
Sun Nov 27 00:31:32 +0000 2016|The Green Party scam to fill up their coffers by asking for impossible recounts is now being joined by the badly defeated &amp; demoralized Dems|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|31369|96291|https://twitter.com/realdonaldtrump/status/802671162383802368
Sat Nov 26 13:08:11 +0000 2016|Fidel Castro is dead!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|97289|206214|https://twitter.com/realdonaldtrump/status/802499192237080576
Thu Nov 24 15:11:58 +0000 2016|I am working hard, even on Thanksgiving, trying to get Carrier A.C. Company to stay in the U.S. (Indiana). MAKING PROGRESS - Will know soon!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|30293|136931|https://twitter.com/realdonaldtrump/status/801805564577808385
Thu Nov 24 03:30:36 +0000 2016|Happy Thanksgiving to everyone. We will, together, MAKE AMERICA GREAT AGAIN!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|47814|183046|https://twitter.com/realdonaldtrump/status/801629061831331840
Thu Nov 24 02:17:26 +0000 2016|Let us give thanks for all that we have, and let us boldly face the exciting new frontiers that lie ahead. Happy Th… https://t.co/RY9mGGjrXm|True|"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"|47751|165134|https://twitter.com/realdonaldtrump/status/801610648010575872
Wed Nov 23 00:24:46 +0000 2016|Bus crash in Tennessee so sad &amp; so terrible. Condolences to all family members and loved ones. These beautiful children will be remembered!|False|"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"|27204|130651|https://twitter.com/realdonaldtrump/status/801219908910469120
Tue Nov 22 17:10:47 +0000 2016|I am seriously considering Dr. Ben Carson as the head of HUD. I've gotten to know him well--he's a greatly talented person who loves people!|False|"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"|26640|138241|https://twitter.com/realdonaldtrump/status/801110690387857408
